case_id,offender_race,victim_race,sentence
977,black,black,jail
978,black,black,jail
979,black,black,jail
980,black,black,jail
981,white,white,jail
982,black,black,jail
983,white,white,jail
984,white,black,jail
985,white,white,jail
986,black,black,jail
987,white,white,jail
988,black,black,jail
989,white,white,jail
990,black,black,jail
991,black,black,jail
992,black,white,jail
993,white,white,jail
994,white,white,death
995,white,white,jail
996,white,white,jail
997,white,white,jail
998,white,white,jail
999,white,white,jail
1000,white,white,jail
1001,white,white,jail
1002,white,white,jail
1003,white,white,jail
1004,black,black,jail
1005,black,black,jail
1006,white,white,jail
1007,black,black,jail
1008,black,black,jail
1009,white,white,jail
1010,white,white,jail
1011,black,black,jail
1012,white,white,jail
1013,white,white,jail
1014,white,white,jail
1015,black,black,jail
1016,white,white,jail
1017,black,black,jail
1018,white,white,jail
1019,black,black,jail
1020,black,black,jail
1021,white,white,jail
1022,black,white,jail
1023,black,black,jail
1024,white,white,jail
1025,white,white,jail
1026,black,black,jail
1027,black,black,jail
1028,white,white,jail
1029,black,black,jail
1030,black,black,jail
1031,black,black,jail
1032,white,white,jail
1033,white,white,jail
1034,white,white,jail
1035,white,white,jail
1036,white,white,jail
1037,black,black,jail
1038,black,black,jail
1039,white,white,jail
1040,white,black,jail
1041,black,black,jail
1042,white,white,jail
1043,white,white,jail
1044,white,white,jail
1045,black,black,jail
1046,white,white,jail
1047,black,black,jail
1048,black,black,jail
1049,white,black,jail
1050,white,white,jail
1051,black,black,jail
1052,white,white,jail
1053,black,black,jail
1054,black,white,jail
1055,black,white,death
1056,white,white,jail
1057,white,white,jail
1058,black,white,jail
1059,black,black,jail
1060,black,black,jail
1061,black,white,jail
1062,black,black,jail
1063,black,black,jail
1064,white,white,jail
1065,black,black,jail
1066,black,black,jail
1067,black,black,jail
1068,white,white,jail
1069,black,black,jail
1070,white,white,jail
1071,white,white,jail
1072,white,white,jail
1073,white,white,jail
1074,black,black,jail
1075,black,black,jail
1076,black,white,jail
1077,black,white,jail
1078,black,black,jail
1079,white,white,jail
1080,white,white,jail
1081,white,white,jail
1082,white,white,jail
1083,black,black,jail
1084,white,white,jail
1085,black,black,jail
1086,black,black,jail
1087,black,black,jail
1088,white,white,jail
1089,white,white,jail
1090,white,white,jail
1091,white,white,jail
1092,white,white,jail
1093,white,white,jail
1094,black,black,jail
1095,black,black,jail
1096,black,black,jail
1097,black,black,jail
1098,white,white,jail
1099,black,black,jail
1100,white,white,jail
1101,white,white,jail
1102,white,white,jail
1103,black,black,jail
1104,black,black,jail
1105,white,white,jail
1106,black,black,jail
1107,black,black,jail
1108,white,white,jail
1109,white,white,jail
1110,black,black,jail
1111,white,white,jail
1112,black,black,jail
1113,black,black,jail
1114,black,black,jail
1115,black,black,jail
1116,white,white,jail
1117,white,white,jail
1118,black,black,jail
1119,white,white,jail
1120,black,black,jail
1121,white,white,jail
1122,white,white,jail
1123,black,black,jail
1124,black,black,jail
1125,black,black,jail
1126,white,white,jail
1127,white,black,jail
1128,white,white,jail
1129,black,black,jail
1130,black,black,jail
1131,black,black,jail
1132,white,white,jail
1133,black,black,jail
1134,black,black,jail
1135,white,white,jail
1136,black,black,jail
1137,white,white,jail
1138,black,black,jail
1139,black,black,jail
1140,white,white,jail
1141,white,white,jail
1142,black,black,jail
1143,black,white,jail
1144,white,white,jail
1145,white,white,jail
1146,black,black,jail
1147,white,white,jail
1148,white,white,jail
1149,white,white,jail
1150,white,white,jail
1151,black,black,jail
1152,black,black,death
1153,white,white,jail
1154,black,black,jail
1155,white,white,jail
1156,black,black,jail
1157,white,white,jail
1158,white,white,jail
1159,white,white,jail
1160,black,black,jail
1161,black,black,jail
1162,white,white,jail
1163,white,white,jail
1164,white,white,jail
1165,white,white,jail
1166,white,white,jail
1167,white,white,jail
1168,white,white,jail
1169,white,white,jail
1170,black,black,jail
1171,white,white,jail
1172,black,black,jail
1173,white,white,jail
1174,white,white,jail
1175,white,white,jail
1176,black,black,jail
1177,white,black,jail
1178,white,black,jail
1179,black,black,jail
1180,black,black,jail
1181,black,black,jail
1182,white,white,jail
1183,white,white,jail
1184,black,black,jail
1185,black,black,jail
1186,black,black,jail
1187,white,white,jail
1188,white,white,jail
1189,white,white,jail
1190,white,white,jail
1191,black,black,jail
1192,white,white,jail
1193,black,white,jail
1194,black,black,jail
1195,white,white,jail
1196,white,white,jail
1197,white,white,jail
1198,white,white,jail
1199,white,white,jail
1200,white,white,jail
1201,black,black,jail
1202,white,white,jail
1203,white,white,jail
1204,white,white,jail
1205,black,black,jail
1206,white,white,jail
1207,black,black,jail
1208,black,black,jail
1209,white,white,jail
1210,black,black,jail
1211,black,black,jail
1212,black,black,jail
1213,black,white,jail
1214,white,white,jail
1215,white,black,jail
1216,black,black,jail
1217,white,white,jail
1218,black,black,jail
1219,white,white,jail
1220,black,black,jail
1221,black,black,jail
1222,black,white,jail
1223,white,white,jail
1224,white,white,jail
1225,black,black,jail
1226,white,white,jail
1227,black,black,jail
1228,white,white,jail
1229,black,black,jail
1230,black,black,jail
1231,white,white,jail
1232,black,black,jail
1233,black,black,jail
1234,white,white,death
1235,black,black,jail
1236,white,white,jail
1237,black,white,jail
1238,black,black,jail
1239,white,white,jail
1240,white,white,jail
1241,black,black,jail
1242,black,white,jail
1243,black,black,jail
1244,white,white,jail
1245,black,black,jail
1246,black,black,jail
1247,black,black,jail
1248,black,black,jail
1249,black,black,jail
1250,white,white,jail
1251,white,white,jail
1252,white,black,jail
1253,white,white,jail
1254,black,black,jail
1255,black,black,jail
1256,white,white,jail
1257,white,white,jail
1258,white,white,jail
1259,black,black,jail
1260,white,white,jail
1261,black,black,jail
1262,black,black,jail
1263,white,white,jail
1264,white,white,jail
1265,black,black,jail
1266,white,black,jail
1267,white,white,jail
1268,black,black,jail
1269,white,black,jail
1270,white,white,jail
1271,white,white,jail
1272,white,white,jail
1273,black,black,jail
1274,black,black,jail
1275,white,white,jail
1276,white,white,jail
1277,white,white,jail
1278,black,white,jail
1279,black,black,jail
1280,white,white,jail
1281,black,black,jail
1282,white,black,jail
1283,black,black,jail
1284,white,white,jail
1285,black,white,jail
1286,black,white,jail
1287,black,black,jail
1288,black,black,jail
1289,black,white,jail
1290,white,white,jail
1291,black,black,jail
1292,white,white,jail
1293,black,black,jail
1294,black,black,jail
1295,white,white,jail
1296,black,black,jail
1297,white,white,jail
1298,black,black,jail
1299,black,black,jail
1300,white,white,jail
1301,white,white,jail
1302,black,black,jail
1303,black,black,jail
1304,black,black,jail
1305,black,black,jail
1306,black,black,jail
1307,black,white,jail
1308,black,white,jail
1309,black,black,jail
1310,white,white,jail
1311,white,white,jail
1312,black,black,jail
1313,black,white,jail
1314,white,white,jail
1315,black,black,jail
1316,black,black,jail
1317,black,black,jail
1318,white,white,jail
1319,white,white,jail
1320,black,black,jail
1321,white,white,jail
1322,black,black,jail
1323,white,white,death
1324,white,white,jail
1325,black,black,jail
1326,black,black,jail
1327,white,black,jail
1328,white,white,jail
1329,white,white,jail
1330,black,black,jail
1331,white,white,jail
1332,white,white,jail
1333,black,black,jail
1334,black,black,jail
1335,black,black,jail
1336,white,white,jail
1337,white,white,jail
1338,white,white,jail
1339,black,black,jail
1340,white,white,jail
1341,white,white,death
1342,black,white,jail
1343,white,white,jail
1344,white,white,jail
1345,black,black,jail
1346,white,white,jail
1347,white,white,jail
1348,black,black,jail
1349,white,white,jail
1350,white,white,jail
1351,white,white,jail
1352,white,white,jail
1353,black,black,jail
1354,black,black,jail
1355,black,black,jail
1356,black,black,jail
1357,black,black,jail
1358,white,white,jail
1359,black,white,jail
1360,white,white,jail
1361,black,black,jail
1362,white,white,jail
1363,white,white,jail
1364,black,black,jail
1365,white,white,jail
1366,black,black,jail
1367,white,white,jail
1368,black,black,jail
1369,black,black,jail
1370,white,white,jail
1371,white,white,jail
1372,black,white,jail
1373,black,white,jail
1374,white,white,jail
1375,white,white,jail
1376,black,black,jail
1377,white,white,jail
1378,black,black,jail
1379,black,black,jail
1380,white,white,jail
1381,black,black,jail
1382,black,black,jail
1383,black,white,jail
1384,black,black,jail
1385,black,black,jail
1386,black,black,jail
1387,white,white,jail
1388,black,black,jail
1389,black,white,jail
1390,black,black,jail
1391,white,white,jail
1392,black,black,jail
1393,white,white,jail
1394,black,black,jail
1395,black,black,jail
1396,black,white,jail
1397,white,white,jail
1398,black,black,jail
1399,black,white,jail
1400,white,white,jail
1401,black,black,jail
1402,black,black,jail
1403,black,black,jail
1404,black,white,jail
1405,black,white,jail
1406,white,white,jail
1407,white,black,jail
1408,white,white,jail
1409,white,white,jail
1410,black,white,jail
1411,white,white,jail
1412,white,white,jail
1413,white,white,jail
1414,black,black,jail
1415,white,white,jail
1416,black,black,jail
1417,white,white,jail
1418,white,white,jail
1419,black,black,jail
1420,white,white,jail
1421,black,black,jail
1422,black,black,jail
1423,black,black,jail
1424,white,white,jail
1425,white,white,death
1426,black,black,jail
1427,black,black,jail
1428,black,black,jail
1429,white,white,jail
1430,black,black,jail
1431,white,white,jail
1432,black,black,jail
1433,black,black,jail
1434,black,black,jail
1435,black,black,jail
1436,white,white,jail
1437,black,black,jail
1438,black,white,jail
1439,black,black,jail
1440,white,white,jail
1441,white,white,jail
1442,black,black,jail
1443,black,black,jail
1444,black,black,jail
1445,white,white,jail
1446,black,black,jail
1447,white,white,jail
1448,white,white,jail
1449,white,white,jail
1450,white,white,jail
1451,black,black,jail
1452,white,white,jail
1453,white,white,jail
1454,white,white,jail
1455,black,black,jail
1456,white,white,jail
1457,white,white,jail
1458,black,black,jail
