respondent_id,approve_president
2824,Disapprove
1413,Disapprove
2909,Disapprove
1429,Disapprove
126,Disapprove
2019,Approve
3567,Approve
1542,Approve
3650,Approve
3294,Disapprove
2064,Approve
3825,Disapprove
241,Disapprove
2277,Disapprove
3957,Disapprove
3800,Disapprove
3540,Approve
3190,Approve
127,Approve
4000,Approve
3083,Approve
1076,Disapprove
2357,Approve
1239,Approve
2419,Approve
3319,Approve
2090,Approve
207,Disapprove
1446,Disapprove
3554,Disapprove
781,Approve
3415,Approve
4149,Disapprove
3113,Disapprove
752,Disapprove
3142,Disapprove
1714,Approve
799,Disapprove
1609,Disapprove
97,Disapprove
2900,Disapprove
1684,Disapprove
544,Disapprove
2642,Approve
3934,Disapprove
289,Disapprove
2871,Approve
3007,Disapprove
3673,Disapprove
3649,Approve
2123,Approve
3992,Approve
3557,Approve
173,Approve
3686,Disapprove
2813,Approve
2708,Disapprove
3056,Disapprove
2360,Disapprove
1222,Disapprove
2184,Approve
3748,Approve
1423,Disapprove
792,Approve
2034,Disapprove
1198,Disapprove
579,Disapprove
1887,Approve
485,Disapprove
4131,Approve
2221,Disapprove
3258,Disapprove
1731,Approve
376,Disapprove
3851,Disapprove
3285,Disapprove
3642,Disapprove
2057,Approve
3930,Approve
2451,Disapprove
1983,Disapprove
761,Disapprove
2852,Disapprove
465,Disapprove
1206,Disapprove
3797,Approve
3998,Disapprove
344,Approve
552,Disapprove
225,Disapprove
4155,Disapprove
3676,Approve
3198,Approve
2299,Disapprove
3683,Disapprove
1808,Disapprove
2780,Approve
3674,Approve
1964,Approve
321,Approve
861,Disapprove
3695,Disapprove
625,Disapprove
1378,Disapprove
598,Approve
1526,Approve
3283,Approve
195,Disapprove
117,Disapprove
446,Disapprove
1072,Approve
3697,Disapprove
592,Disapprove
1440,Approve
3816,Approve
2062,Approve
1315,Disapprove
2522,Approve
1637,Approve
399,Disapprove
2473,Disapprove
3116,Approve
2291,Disapprove
2623,Disapprove
1284,Approve
3591,Disapprove
340,Approve
3332,Disapprove
1724,Approve
1737,Disapprove
3240,Approve
380,Disapprove
2840,Approve
3212,Disapprove
2174,Disapprove
3015,Disapprove
1454,Disapprove
1986,Approve
4,Disapprove
3505,Disapprove
1613,Disapprove
889,Disapprove
1241,Approve
2347,Approve
4166,Approve
2287,Approve
2537,Approve
2904,Disapprove
890,Disapprove
3231,Disapprove
4168,Disapprove
3295,Approve
696,Disapprove
699,Disapprove
2426,Approve
2621,Disapprove
3565,Approve
1244,Approve
3342,Approve
1478,Disapprove
2467,Approve
4157,Disapprove
847,Disapprove
1346,Approve
978,Approve
2705,Approve
1819,Disapprove
2712,Disapprove
2756,Approve
1551,Approve
2309,Approve
754,Disapprove
3220,Approve
1607,Disapprove
3827,Disapprove
3831,Disapprove
3490,Approve
2366,Disapprove
2713,Disapprove
665,Disapprove
3091,Approve
3689,Approve
1135,Disapprove
3706,Disapprove
57,Disapprove
1917,Disapprove
672,Approve
3256,Disapprove
409,Approve
510,Disapprove
4048,Disapprove
2216,Disapprove
1161,Disapprove
888,Disapprove
867,Disapprove
1412,Disapprove
2089,Disapprove
2857,Approve
3044,Approve
562,Approve
2895,Disapprove
2160,Disapprove
2281,Disapprove
2747,Disapprove
3402,Disapprove
217,Disapprove
1103,Approve
2735,Disapprove
3134,Approve
4084,Approve
1549,Approve
2211,Disapprove
2030,Disapprove
2199,Disapprove
3972,Disapprove
3105,Approve
567,Approve
3750,Disapprove
149,Disapprove
3662,Disapprove
3556,Approve
1371,Disapprove
3453,Approve
1901,Disapprove
677,Disapprove
2941,Disapprove
3397,Disapprove
3614,Disapprove
177,Approve
4079,Disapprove
3048,Approve
3119,Disapprove
2629,Approve
4046,Disapprove
169,Approve
3863,Disapprove
2765,Disapprove
3548,Approve
482,Approve
1450,Approve
3873,Disapprove
1322,Approve
3412,Approve
4050,Disapprove
804,Disapprove
912,Approve
1509,Disapprove
2794,Disapprove
2541,Approve
1585,Approve
805,Approve
1649,Approve
3559,Approve
1855,Disapprove
458,Approve
502,Disapprove
2134,Approve
2164,Approve
1005,Approve
4069,Approve
3871,Disapprove
1730,Approve
968,Disapprove
1084,Approve
361,Disapprove
4136,Disapprove
4051,Approve
887,Approve
773,Disapprove
1126,Approve
1782,Disapprove
2755,Disapprove
2545,Approve
2750,Disapprove
644,Disapprove
2674,Approve
230,Disapprove
2080,Disapprove
1770,Disapprove
2797,Disapprove
2148,Disapprove
2800,Disapprove
2338,Disapprove
2383,Disapprove
2021,Disapprove
3534,Approve
1874,Approve
176,Approve
2481,Approve
597,Disapprove
1573,Disapprove
2531,Approve
947,Approve
2462,Approve
1675,Disapprove
3266,Approve
3909,Disapprove
2752,Disapprove
2654,Approve
1292,Approve
3275,Approve
1708,Approve
695,Disapprove
1823,Disapprove
283,Disapprove
3271,Disapprove
35,Disapprove
1251,Approve
2961,Approve
3033,Approve
3038,Approve
3002,Disapprove
1802,Disapprove
1671,Disapprove
3701,Disapprove
1656,Approve
2303,Disapprove
2009,Disapprove
2594,Disapprove
710,Disapprove
3964,Disapprove
2846,Disapprove
1350,Disapprove
3122,Approve
3243,Disapprove
4165,Approve
1451,Disapprove
2230,Approve
3718,Approve
1043,Disapprove
766,Approve
2077,Approve
4100,Approve
4109,Disapprove
2325,Approve
3393,Disapprove
1534,Approve
2043,Disapprove
1535,Disapprove
3252,Approve
776,Disapprove
1341,Approve
1250,Disapprove
1337,Approve
3249,Approve
2132,Disapprove
100,Approve
3276,Approve
1218,Disapprove
3168,Disapprove
1995,Approve
560,Disapprove
961,Disapprove
3331,Approve
1916,Disapprove
1211,Approve
3814,Disapprove
335,Approve
1532,Disapprove
1258,Disapprove
1725,Approve
3178,Approve
2279,Approve
2879,Approve
891,Disapprove
2308,Disapprove
1786,Disapprove
3585,Disapprove
42,Approve
950,Disapprove
2633,Disapprove
1652,Disapprove
303,Disapprove
3904,Disapprove
3803,Approve
1674,Approve
1157,Approve
2838,Disapprove
3114,Disapprove
199,Approve
2363,Disapprove
2751,Approve
1462,Disapprove
2694,Approve
561,Disapprove
4087,Disapprove
2945,Approve
2092,Approve
3712,Disapprove
3444,Approve
1946,Approve
1407,Disapprove
1283,Disapprove
439,Disapprove
4075,Approve
4156,Disapprove
3728,Approve
145,Approve
4035,Approve
1991,Approve
3165,Disapprove
2212,Disapprove
3500,Disapprove
623,NA
1952,Disapprove
287,Disapprove
2378,Disapprove
1207,Disapprove
3289,Approve
2204,Approve
1750,Disapprove
2593,Approve
3976,Approve
2923,Disapprove
1096,Disapprove
1882,Approve
2140,Approve
1814,Approve
4115,Disapprove
505,Approve
878,Approve
2905,Disapprove
373,Disapprove
833,Approve
3101,Disapprove
2568,Disapprove
1380,Approve
2516,Disapprove
3821,Disapprove
1265,Disapprove
1655,Approve
583,Disapprove
1913,Disapprove
281,Approve
1364,Disapprove
787,Approve
611,Approve
1726,Approve
392,Approve
3739,Disapprove
2979,Disapprove
3049,Approve
819,Approve
929,Approve
3351,Disapprove
3745,Approve
3440,Approve
2873,Approve
1272,Disapprove
1248,Disapprove
3948,Disapprove
2044,Disapprove
3665,Disapprove
2232,Disapprove
1545,Disapprove
1605,Disapprove
549,Approve
2880,Approve
2271,Disapprove
1523,Approve
2571,Disapprove
3245,Disapprove
1216,Disapprove
3379,Approve
1899,Approve
2542,Approve
3324,Disapprove
2764,Disapprove
2103,Disapprove
957,Approve
3428,Approve
1023,Disapprove
1082,Approve
3200,Disapprove
2585,Approve
3399,NA
1275,Approve
1816,Approve
2152,Approve
1651,Disapprove
3180,Disapprove
2131,Disapprove
3479,Approve
2918,Approve
3016,Approve
3475,Approve
1306,Disapprove
3210,Approve
3979,Approve
2518,Disapprove
3189,Approve
213,Approve
2669,Disapprove
1974,Approve
1442,Disapprove
346,Disapprove
1927,Disapprove
3077,Disapprove
1318,Approve
3380,Approve
2323,Approve
2739,Approve
871,Approve
1253,Disapprove
708,Approve
1203,Disapprove
3448,Approve
1452,Disapprove
2407,Disapprove
3795,Disapprove
1747,Disapprove
1238,Disapprove
676,Approve
378,Approve
2802,Approve
291,Disapprove
1482,Disapprove
2926,Disapprove
3279,Approve
33,Disapprove
1793,Disapprove
3613,Approve
3037,Disapprove
2868,Disapprove
4017,Approve
3423,Approve
3483,Disapprove
1358,Disapprove
27,Approve
494,Disapprove
