Date,Open,High,Low,Close,Volume
31-Oct-00,"1,401.18","1,432.22","1,401.18","1,429.40",-
30-Oct-00,"1,379.49","1,406.36","1,376.86","1,398.66",-
27-Oct-00,"1,364.44","1,384.57","1,364.13","1,379.58",-
26-Oct-00,"1,364.90","1,372.72","1,337.77","1,364.44",-
25-Oct-00,"1,392.42","1,393.29","1,362.21","1,364.90",-
24-Oct-00,"1,399.40","1,415.64","1,388.13","1,398.13",-
23-Oct-00,"1,396.72","1,406.96","1,387.75","1,395.78",-
20-Oct-00,"1,388.76","1,408.47","1,382.19","1,396.93",-
19-Oct-00,"1,345.64","1,389.93","1,345.64","1,388.76",-
18-Oct-00,"1,349.97","1,356.65","1,305.79","1,342.13",-
17-Oct-00,"1,379.33","1,380.99","1,342.34","1,349.97",-
16-Oct-00,"1,373.11","1,379.48","1,365.06","1,374.62",-
13-Oct-00,"1,329.83","1,374.17","1,326.81","1,374.17",-
12-Oct-00,"1,364.59","1,374.93","1,328.06","1,329.78",-
11-Oct-00,"1,379.74","1,381.97","1,349.67","1,364.59",-
10-Oct-00,"1,399.27","1,408.83","1,383.85","1,385.94",-
9-Oct-00,"1,408.67","1,409.69","1,392.48","1,402.03",-
6-Oct-00,"1,437.30","1,443.30","1,397.06","1,408.99",-
5-Oct-00,"1,432.04","1,444.17","1,431.80","1,436.28",-
4-Oct-00,"1,426.46","1,439.99","1,416.31","1,434.32",-
3-Oct-00,"1,441.84","1,454.82","1,425.28","1,426.46",-
2-Oct-00,"1,441.68","1,445.60","1,429.83","1,436.23",-
29-Sep-00,"1,456.98","1,456.98","1,436.29","1,436.51",-
28-Sep-00,"1,426.58","1,461.69","1,425.78","1,458.28",-
27-Sep-00,"1,430.45","1,437.22","1,419.44","1,426.57",-
26-Sep-00,"1,441.47","1,448.04","1,425.25","1,427.21",-
25-Sep-00,"1,450.30","1,457.42","1,435.93","1,439.03",-
22-Sep-00,"1,427.16","1,448.72","1,421.08","1,448.72",-
21-Sep-00,"1,451.34","1,452.77","1,436.30","1,449.05",-
20-Sep-00,"1,460.49","1,460.49","1,430.95","1,451.34",-
19-Sep-00,"1,448.29","1,461.16","1,446.05","1,459.90",-
18-Sep-00,"1,466.64","1,467.77","1,441.92","1,444.51",-
15-Sep-00,"1,480.24","1,480.96","1,460.22","1,465.81",-
14-Sep-00,"1,489.94","1,494.16","1,476.73","1,480.87",-
13-Sep-00,"1,479.82","1,487.45","1,473.61","1,484.91",-
12-Sep-00,"1,490.96","1,496.93","1,479.67","1,481.99",-
11-Sep-00,"1,494.50","1,506.76","1,483.01","1,487.85",-
8-Sep-00,"1,502.51","1,502.51","1,489.88","1,494.50",-
7-Sep-00,"1,495.17","1,505.34","1,494.01","1,502.51",-
6-Sep-00,"1,506.43","1,512.61","1,492.12","1,492.25",-
5-Sep-00,"1,516.08","1,517.10","1,503.75","1,507.08",-
1-Sep-00,"1,520.69","1,530.09","1,515.53","1,520.77",-
31-Aug-00,"1,504.44","1,525.21","1,504.44","1,517.68",-
30-Aug-00,"1,509.83","1,510.49","1,500.09","1,502.59",-
29-Aug-00,"1,514.14","1,514.89","1,505.48","1,509.84",-
28-Aug-00,"1,506.72","1,523.95","1,506.72","1,514.09",-
